[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#34] 2.455-2.456: YC 158898KB->158937KB (233632KB), 0.001 s, sum of pauses 0.589 ms, longest pause 0.589 ms.
[INFO ][memory ] [YC#35] 2.456-2.456: YC 158962KB->159001KB (233632KB), 0.001 s, sum of pauses 0.631 ms, longest pause 0.631 ms.
[INFO ][memory ] [YC#36] 2.457-2.457: YC 159026KB->159065KB (233632KB), 0.001 s, sum of pauses 0.663 ms, longest pause 0.663 ms.
[INFO ][memory ] [YC#37] 2.457-2.459: YC 159090KB->159129KB (233632KB), 0.001 s, sum of pauses 1.185 ms, longest pause 1.185 ms.
[INFO ][memory ] [YC#38] 2.459-2.459: YC 159154KB->159193KB (233632KB), 0.001 s, sum of pauses 0.599 ms, longest pause 0.599 ms.
[INFO ][memory ] [YC#39] 2.459-2.460: YC 159218KB->159257KB (233632KB), 0.001 s, sum of pauses 0.609 ms, longest pause 0.609 ms.
[INFO ][memory ] [YC#40] 2.460-2.461: YC 159282KB->159321KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#41] 2.461-2.462: YC 159346KB->159385KB (233632KB), 0.001 s, sum of pauses 0.790 ms, longest pause 0.790 ms.
[INFO ][memory ] [YC#42] 2.462-2.463: YC 159410KB->159449KB (233632KB), 0.001 s, sum of pauses 1.108 ms, longest pause 1.108 ms.
[INFO ][memory ] [YC#43] 2.463-2.464: YC 159474KB->159513KB (233632KB), 0.001 s, sum of pauses 0.944 ms, longest pause 0.944 ms.
[INFO ][memory ] [YC#44] 2.464-2.465: YC 159538KB->159577KB (233632KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#45] 2.465-2.466: YC 159602KB->159641KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#46] 2.466-2.466: YC 159666KB->159705KB (233632KB), 0.001 s, sum of pauses 0.612 ms, longest pause 0.612 ms.
[INFO ][memory ] [YC#47] 2.466-2.467: YC 159730KB->159769KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#48] 2.467-2.468: YC 159794KB->159833KB (233632KB), 0.001 s, sum of pauses 0.609 ms, longest pause 0.609 ms.
[INFO ][memory ] [YC#49] 2.468-2.469: YC 159858KB->159897KB (233632KB), 0.001 s, sum of pauses 0.607 ms, longest pause 0.607 ms.
[INFO ][memory ] [YC#50] 2.469-2.469: YC 159922KB->159961KB (233632KB), 0.001 s, sum of pauses 0.674 ms, longest pause 0.674 ms.
[INFO ][memory ] [YC#51] 2.470-2.471: YC 159986KB->160025KB (233632KB), 0.001 s, sum of pauses 0.737 ms, longest pause 0.737 ms.
[INFO ][memory ] [YC#52] 2.471-2.471: YC 160050KB->160089KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#53] 2.471-2.472: YC 160114KB->160153KB (233632KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#54] 2.472-2.473: YC 160178KB->160217KB (233632KB), 0.001 s, sum of pauses 0.727 ms, longest pause 0.727 ms.
[INFO ][memory ] [YC#55] 2.473-2.474: YC 160242KB->160281KB (233632KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#56] 2.474-2.474: YC 160306KB->160345KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#57] 2.475-2.475: YC 160370KB->160409KB (233632KB), 0.001 s, sum of pauses 0.748 ms, longest pause 0.748 ms.
[INFO ][memory ] [YC#58] 2.475-2.476: YC 160434KB->160537KB (233632KB), 0.001 s, sum of pauses 0.608 ms, longest pause 0.608 ms.
[INFO ][memory ] [YC#59] 2.476-2.477: YC 160562KB->160601KB (233632KB), 0.001 s, sum of pauses 0.619 ms, longest pause 0.619 ms.
[INFO ][memory ] [YC#60] 2.477-2.478: YC 160626KB->160665KB (233632KB), 0.001 s, sum of pauses 0.602 ms, longest pause 0.602 ms.
[INFO ][memory ] [YC#61] 2.478-2.478: YC 160690KB->160729KB (233632KB), 0.001 s, sum of pauses 0.744 ms, longest pause 0.744 ms.
[INFO ][memory ] [YC#62] 2.479-2.479: YC 160754KB->160793KB (233632KB), 0.001 s, sum of pauses 0.604 ms, longest pause 0.604 ms.
[INFO ][memory ] [YC#63] 2.479-2.480: YC 160818KB->160857KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#64] 2.480-2.481: YC 160882KB->160921KB (233632KB), 0.001 s, sum of pauses 0.630 ms, longest pause 0.630 ms.
[INFO ][memory ] [YC#65] 2.481-2.482: YC 160946KB->160985KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#66] 2.482-2.482: YC 161010KB->161049KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#67] 2.482-2.483: YC 161074KB->161113KB (233632KB), 0.001 s, sum of pauses 0.600 ms, longest pause 0.600 ms.
[INFO ][memory ] [YC#68] 2.483-2.484: YC 161138KB->161177KB (233632KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#69] 2.484-2.484: YC 161202KB->161241KB (233632KB), 0.001 s, sum of pauses 0.590 ms, longest pause 0.590 ms.
[INFO ][memory ] [YC#70] 2.485-2.485: YC 161266KB->161305KB (233632KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#71] 2.485-2.486: YC 161330KB->161433KB (233632KB), 0.001 s, sum of pauses 0.899 ms, longest pause 0.899 ms.
[INFO ][memory ] [YC#72] 2.486-2.487: YC 161458KB->161497KB (233632KB), 0.001 s, sum of pauses 0.602 ms, longest pause 0.602 ms.
[INFO ][memory ] [YC#73] 2.487-2.488: YC 161522KB->161561KB (233632KB), 0.001 s, sum of pauses 0.613 ms, longest pause 0.613 ms.
[INFO ][memory ] [YC#74] 2.488-2.489: YC 161586KB->161625KB (233632KB), 0.001 s, sum of pauses 0.599 ms, longest pause 0.599 ms.
[INFO ][memory ] [YC#75] 2.489-2.489: YC 161650KB->161689KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#76] 2.489-2.490: YC 161714KB->161753KB (233632KB), 0.001 s, sum of pauses 0.780 ms, longest pause 0.780 ms.
[INFO ][memory ] [YC#77] 2.490-2.491: YC 161778KB->161817KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#78] 2.491-2.492: YC 161842KB->161881KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#79] 2.492-2.492: YC 161906KB->161945KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#80] 2.493-2.493: YC 161970KB->162009KB (233632KB), 0.001 s, sum of pauses 0.591 ms, longest pause 0.591 ms.
[INFO ][memory ] [YC#81] 2.493-2.494: YC 162034KB->162073KB (233632KB), 0.001 s, sum of pauses 0.899 ms, longest pause 0.899 ms.
[INFO ][memory ] [YC#82] 2.494-2.495: YC 162098KB->162137KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#83] 2.495-2.496: YC 162162KB->162201KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#84] 2.496-2.496: YC 162226KB->162265KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#85] 2.497-2.497: YC 162290KB->162329KB (233632KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#86] 2.497-2.498: YC 162354KB->162393KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#87] 2.498-2.499: YC 162418KB->162521KB (233632KB), 0.001 s, sum of pauses 0.617 ms, longest pause 0.617 ms.
[INFO ][memory ] [YC#88] 2.499-2.500: YC 162546KB->162585KB (233632KB), 0.001 s, sum of pauses 0.628 ms, longest pause 0.628 ms.
[INFO ][memory ] [YC#89] 2.500-2.500: YC 162610KB->162649KB (233632KB), 0.001 s, sum of pauses 0.600 ms, longest pause 0.600 ms.
[INFO ][memory ] [YC#90] 2.500-2.501: YC 162674KB->162713KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#91] 2.501-2.502: YC 162738KB->162777KB (233632KB), 0.001 s, sum of pauses 0.768 ms, longest pause 0.768 ms.
[INFO ][memory ] [YC#92] 2.502-2.503: YC 162802KB->162841KB (233632KB), 0.001 s, sum of pauses 1.012 ms, longest pause 1.012 ms.
[INFO ][memory ] [YC#93] 2.503-2.504: YC 162866KB->162905KB (233632KB), 0.001 s, sum of pauses 1.227 ms, longest pause 1.227 ms.
[INFO ][memory ] [YC#94] 2.505-2.505: YC 162930KB->162969KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#95] 2.505-2.506: YC 162994KB->163033KB (233632KB), 0.001 s, sum of pauses 0.703 ms, longest pause 0.703 ms.
[INFO ][memory ] [YC#96] 2.506-2.507: YC 163058KB->163097KB (233632KB), 0.001 s, sum of pauses 0.619 ms, longest pause 0.619 ms.
[INFO ][memory ] [YC#97] 2.507-2.508: YC 163122KB->163161KB (233632KB), 0.001 s, sum of pauses 0.593 ms, longest pause 0.593 ms.
[INFO ][memory ] [YC#98] 2.508-2.508: YC 163186KB->163225KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
