[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#34] 1.519-1.520: YC 160108KB->160211KB (233624KB), 0.001 s, sum of pauses 0.591 ms, longest pause 0.591 ms.
[INFO ][memory ] [YC#35] 1.520-1.521: YC 160236KB->160276KB (233624KB), 0.001 s, sum of pauses 0.579 ms, longest pause 0.579 ms.
[INFO ][memory ] [YC#36] 1.521-1.521: YC 160300KB->160403KB (233624KB), 0.001 s, sum of pauses 0.599 ms, longest pause 0.599 ms.
[INFO ][memory ] [YC#37] 1.522-1.522: YC 160428KB->160532KB (233624KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#38] 1.522-1.523: YC 160556KB->160659KB (233624KB), 0.001 s, sum of pauses 0.584 ms, longest pause 0.584 ms.
[INFO ][memory ] [YC#39] 1.523-1.524: YC 160684KB->160788KB (233624KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#40] 1.524-1.524: YC 160812KB->160915KB (233624KB), 0.001 s, sum of pauses 0.583 ms, longest pause 0.583 ms.
[INFO ][memory ] [YC#41] 1.524-1.525: YC 160940KB->161044KB (233624KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#42] 1.525-1.526: YC 161068KB->161171KB (233624KB), 0.001 s, sum of pauses 0.590 ms, longest pause 0.590 ms.
[INFO ][memory ] [YC#43] 1.526-1.527: YC 161196KB->161300KB (233624KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#44] 1.527-1.527: YC 161324KB->161427KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#45] 1.527-1.528: YC 161452KB->161556KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#46] 1.529-1.529: YC 161580KB->161683KB (233624KB), 0.001 s, sum of pauses 0.638 ms, longest pause 0.638 ms.
[INFO ][memory ] [YC#47] 1.529-1.530: YC 161708KB->161812KB (233624KB), 0.001 s, sum of pauses 0.584 ms, longest pause 0.584 ms.
[INFO ][memory ] [YC#48] 1.530-1.531: YC 161836KB->161875KB (233624KB), 0.001 s, sum of pauses 0.973 ms, longest pause 0.973 ms.
[INFO ][memory ] [YC#49] 1.531-1.532: YC 161900KB->161940KB (233624KB), 0.001 s, sum of pauses 0.568 ms, longest pause 0.568 ms.
[INFO ][memory ] [YC#50] 1.532-1.532: YC 161964KB->162067KB (233624KB), 0.001 s, sum of pauses 0.588 ms, longest pause 0.588 ms.
[INFO ][memory ] [YC#51] 1.533-1.533: YC 162092KB->162196KB (233624KB), 0.001 s, sum of pauses 0.602 ms, longest pause 0.602 ms.
[INFO ][memory ] [YC#52] 1.533-1.534: YC 162220KB->162323KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
