[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#34] 1.703-1.704: YC 158764KB->158803KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#35] 1.704-1.704: YC 158828KB->158867KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#36] 1.704-1.705: YC 158892KB->158931KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#37] 1.705-1.706: YC 158956KB->158995KB (233624KB), 0.001 s, sum of pauses 0.618 ms, longest pause 0.618 ms.
[INFO ][memory ] [YC#38] 1.706-1.706: YC 159020KB->159059KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#39] 1.706-1.707: YC 159084KB->159123KB (233624KB), 0.001 s, sum of pauses 0.557 ms, longest pause 0.557 ms.
[INFO ][memory ] [YC#40] 1.707-1.708: YC 159148KB->159187KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#41] 1.708-1.708: YC 159212KB->159251KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#42] 1.708-1.709: YC 159276KB->159315KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#43] 1.709-1.710: YC 159340KB->159379KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#44] 1.710-1.710: YC 159404KB->159443KB (233624KB), 0.001 s, sum of pauses 0.540 ms, longest pause 0.540 ms.
[INFO ][memory ] [YC#45] 1.710-1.711: YC 159468KB->159507KB (233624KB), 0.001 s, sum of pauses 0.574 ms, longest pause 0.574 ms.
[INFO ][memory ] [YC#46] 1.711-1.712: YC 159532KB->159571KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#47] 1.712-1.712: YC 159596KB->159635KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#48] 1.712-1.713: YC 159660KB->159699KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#49] 1.713-1.714: YC 159724KB->159763KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#50] 1.714-1.714: YC 159788KB->159827KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#51] 1.714-1.715: YC 159852KB->159891KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#52] 1.715-1.716: YC 159916KB->159955KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#53] 1.716-1.716: YC 159980KB->160019KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#54] 1.716-1.717: YC 160044KB->160083KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#55] 1.717-1.718: YC 160108KB->160147KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#56] 1.718-1.718: YC 160172KB->160211KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#57] 1.718-1.719: YC 160236KB->160275KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
