[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#34] 1.638-1.639: YC 158764KB->158803KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#35] 1.639-1.640: YC 158828KB->158867KB (233624KB), 0.001 s, sum of pauses 0.756 ms, longest pause 0.756 ms.
[INFO ][memory ] [YC#36] 1.640-1.640: YC 158892KB->158931KB (233624KB), 0.001 s, sum of pauses 0.581 ms, longest pause 0.581 ms.
[INFO ][memory ] [YC#37] 1.641-1.641: YC 158956KB->158995KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#38] 1.641-1.642: YC 159020KB->159059KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#39] 1.642-1.642: YC 159084KB->159123KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#40] 1.643-1.643: YC 159148KB->159187KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#41] 1.643-1.644: YC 159212KB->159251KB (233624KB), 0.001 s, sum of pauses 0.948 ms, longest pause 0.948 ms.
[INFO ][memory ] [YC#42] 1.644-1.645: YC 159276KB->159315KB (233624KB), 0.001 s, sum of pauses 0.962 ms, longest pause 0.962 ms.
[INFO ][memory ] [YC#43] 1.645-1.646: YC 159340KB->159379KB (233624KB), 0.001 s, sum of pauses 0.942 ms, longest pause 0.942 ms.
[INFO ][memory ] [YC#44] 1.646-1.647: YC 159404KB->159443KB (233624KB), 0.001 s, sum of pauses 0.919 ms, longest pause 0.919 ms.
[INFO ][memory ] [YC#45] 1.647-1.648: YC 159468KB->159507KB (233624KB), 0.001 s, sum of pauses 0.922 ms, longest pause 0.922 ms.
[INFO ][memory ] [YC#46] 1.649-1.649: YC 159532KB->159571KB (233624KB), 0.001 s, sum of pauses 0.911 ms, longest pause 0.911 ms.
[INFO ][memory ] [YC#47] 1.650-1.651: YC 159596KB->159635KB (233624KB), 0.001 s, sum of pauses 0.928 ms, longest pause 0.928 ms.
[INFO ][memory ] [YC#48] 1.651-1.652: YC 159660KB->159699KB (233624KB), 0.001 s, sum of pauses 0.982 ms, longest pause 0.982 ms.
[INFO ][memory ] [YC#49] 1.652-1.653: YC 159724KB->159763KB (233624KB), 0.001 s, sum of pauses 0.933 ms, longest pause 0.933 ms.
[INFO ][memory ] [YC#50] 1.653-1.655: YC 159788KB->159827KB (233624KB), 0.002 s, sum of pauses 1.751 ms, longest pause 1.751 ms.
[INFO ][memory ] [YC#51] 1.655-1.656: YC 159852KB->159891KB (233624KB), 0.001 s, sum of pauses 1.307 ms, longest pause 1.307 ms.
