[INFO ][memory ] Running with 32 bit heap and compressed references.
[INFO ][memory ] GC mode: Static, strategy: Generational Parallel Mark & Sweep
[INFO ][memory ] heap size: 65540K, maximal heap size: 2097152K, nursery size: 32770K
[INFO ][memory ] <s>-<end>: GC <before>K-><after>K (<heap>K), <pause> ms
[INFO ][memory ] <s/start> - start time of collection (seconds since jvm start)
[INFO ][memory ] <end>     - end time of collection (seconds since jvm start)
[INFO ][memory ] <before>  - memory used by objects before collection (KB)
[INFO ][memory ] <after>   - memory used by objects after collection (KB)
[INFO ][memory ] <heap>    - size of heap after collection (KB)
[INFO ][memory ] <pause>   - total sum of pauses during collection (milliseconds)
[INFO ][memory ]             run with -Xverbose:gcpause to see individual pauses
[INFO ][memory ] 1.375: parallel nursery GC 160657K->160685K (221792K), 0.672 ms
[INFO ][memory ] 1.375: parallel nursery GC 160721K->160749K (221792K), 0.679 ms
[INFO ][memory ] 1.376: parallel nursery GC 160785K->160813K (221792K), 0.685 ms
[INFO ][memory ] 1.377: parallel nursery GC 160849K->160877K (221792K), 0.686 ms
[INFO ][memory ] 1.378: parallel nursery GC 160913K->160941K (221792K), 0.676 ms
[INFO ][memory ] 1.378: parallel nursery GC 160977K->161005K (221792K), 0.669 ms
[INFO ][memory ] 1.379: parallel nursery GC 161041K->161069K (221792K), 0.674 ms
[INFO ][memory ] 1.380: parallel nursery GC 161105K->161133K (221792K), 0.682 ms
[INFO ][memory ] 1.381: parallel nursery GC 161169K->161197K (221792K), 0.686 ms
[INFO ][memory ] 1.381: parallel nursery GC 161233K->161261K (221792K), 0.682 ms
[INFO ][memory ] 1.382: parallel nursery GC 161297K->161325K (221792K), 0.673 ms
[INFO ][memory ] 1.383: parallel nursery GC 161361K->161389K (221792K), 0.629 ms
[INFO ][memory ] 1.384: parallel nursery GC 161425K->161453K (221792K), 0.680 ms
[INFO ][memory ] 1.384: parallel nursery GC 161489K->161517K (221792K), 0.672 ms
[INFO ][memory ] 1.385: parallel nursery GC 161553K->161581K (221792K), 0.683 ms
[INFO ][memory ] 1.386: parallel nursery GC 161617K->161645K (221792K), 0.674 ms
[INFO ][memory ] 1.387: parallel nursery GC 161681K->161709K (221792K), 0.668 ms
[INFO ][memory ] 1.387: parallel nursery GC 161745K->161773K (221792K), 0.674 ms
[INFO ][memory ] 1.388: parallel nursery GC 161809K->161837K (221792K), 0.687 ms
[INFO ][memory ] 1.389: parallel nursery GC 161873K->161901K (221792K), 0.678 ms
[INFO ][memory ] 1.390: parallel nursery GC 161937K->161965K (221792K), 0.691 ms
[INFO ][memory ] 1.391: parallel nursery GC 162001K->162029K (221792K), 0.677 ms
[INFO ][memory ] 1.391: parallel nursery GC 162065K->162093K (221792K), 0.678 ms
[INFO ][memory ] 1.392: parallel nursery GC 162129K->162157K (221792K), 0.694 ms
[INFO ][memory ] 1.393: parallel nursery GC 162193K->162221K (221792K), 0.676 ms
[INFO ][memory ] 1.394: parallel nursery GC 162257K->162285K (221792K), 0.670 ms
[INFO ][memory ] 1.394: parallel nursery GC 162321K->162349K (221792K), 0.684 ms
[INFO ][memory ] 1.395: parallel nursery GC 162385K->162413K (221792K), 0.681 ms
[INFO ][memory ] 1.396: parallel nursery GC 162449K->162477K (221792K), 0.722 ms
[INFO ][memory ] 1.397: parallel nursery GC 162513K->162541K (221792K), 0.684 ms
[INFO ][memory ] 1.398: parallel nursery GC 162577K->162605K (221792K), 0.672 ms
[INFO ][memory ] 1.398: parallel nursery GC 162641K->162669K (221792K), 0.782 ms
[INFO ][memory ] 1.399: parallel nursery GC 162705K->162733K (221792K), 0.686 ms
[INFO ][memory ] 1.400: parallel nursery GC 162769K->162797K (221792K), 0.682 ms
[INFO ][memory ] 1.401: parallel nursery GC 162833K->162861K (221792K), 0.680 ms
[INFO ][memory ] 1.401: parallel nursery GC 162897K->162925K (221792K), 0.684 ms
[INFO ][memory ] 1.402: parallel nursery GC 162961K->162989K (221792K), 0.683 ms
[INFO ][memory ] 1.403: parallel nursery GC 163025K->163053K (221792K), 0.673 ms
[INFO ][memory ] 1.404: parallel nursery GC 163089K->163117K (221792K), 0.683 ms
[INFO ][memory ] 1.404: parallel nursery GC 163153K->163181K (221792K), 0.629 ms
[INFO ][memory ] 1.405: parallel nursery GC 163217K->163245K (221792K), 0.680 ms
[INFO ][memory ] 1.406: parallel nursery GC 163281K->163309K (221792K), 0.677 ms
[INFO ][memory ] 1.407: parallel nursery GC 163345K->163373K (221792K), 0.679 ms
[INFO ][memory ] 1.407: parallel nursery GC 163409K->163437K (221792K), 0.678 ms
[INFO ][memory ] 1.408: parallel nursery GC 163473K->163501K (221792K), 0.697 ms
[INFO ][memory ] 1.409: parallel nursery GC 163537K->163565K (221792K), 0.678 ms
